City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,trinidad,-14.8333,-64.9,33.74,36,77,1.54,BO,1697580711
194,mogocha,53.7333,119.7667,-1.25,87,98,1.79,RU,1697580814
195,saryozek,44.3583,77.9753,9.33,33,0,0.77,KZ,1697580814
196,sal rei,16.1833,-22.9167,28.04,69,0,4.63,CV,1697580815
197,commentry,46.2921,2.7416,14.26,80,94,2.21,FR,1697580816
198,minas de marcona,-15.2119,-75.1103,16.98,75,37,5.82,PE,1697580816
199,debre werk',10.6667,38.1667,14.78,63,100,1.39,ET,1697580817
200,esqueda,30.7167,-109.5833,30.92,19,75,2.72,MX,1697580818
201,berezovyy,51.6667,135.7,1.88,96,100,1.04,RU,1697580724
202,papatowai,-46.5619,169.4708,12.68,56,88,7.26,NZ,1697580819
203,antofagasta,-23.65,-70.4,17.25,75,50,2.03,CL,1697580819
204,kalmunai,7.4167,81.8167,24.9,91,100,2.47,LK,1697580562
205,weno,7.4515,151.8468,27.97,94,100,0.0,FM,1697580821
206,chacabuco,-34.6417,-60.4739,17.77,22,0,4.61,AR,1697580586
207,klyuchi,52.2667,79.1667,8.28,53,37,3.27,RU,1697580822
208,nouadhibou,20.931,-17.0347,23.99,73,5,6.69,MR,1697580822
209,turkmenbasy,40.0222,52.9552,14.71,82,30,9.71,TM,1697580823
210,tozkhurmato,34.8905,44.6299,22.83,37,0,1.27,IQ,1697580824
211,kiunga,-6.1219,141.2906,22.94,100,100,0.4,PG,1697580824
212,stephenville,32.2207,-98.2023,26.2,24,0,3.09,US,1697580825
213,olinda,-8.0089,-34.8553,25.85,65,0,5.66,BR,1697580826
214,vila velha,-20.3297,-40.2925,24.97,85,0,7.2,BR,1697580625
215,kamaishi,39.2667,141.8833,13.17,75,0,2.28,JP,1697580827
216,pyt-yakh,60.7499,72.8582,8.7,91,48,4.2,RU,1697580827
217,kibakwe,-6.7167,36.3667,19.48,82,41,2.15,TZ,1697580827
218,lebu,-37.6167,-73.65,13.56,73,0,5.68,CL,1697580539
219,gorontalo,0.5412,123.0595,24.07,93,6,0.81,ID,1697580829
220,saint-mandrier-sur-mer,43.078,5.929,18.62,70,100,3.58,FR,1697580829
221,mana,5.6592,-53.7767,27.73,79,32,4.5,GF,1697580830
222,talnakh,69.4865,88.3972,-1.55,94,100,5.51,RU,1697580830
223,port-vila,-17.7338,168.3219,28.78,65,40,3.6,VU,1697580742
224,abuja,9.0574,7.4898,25.08,90,45,1.98,NG,1697580778
225,qinzhou,21.95,108.6167,23.19,71,100,2.52,CN,1697580831
226,kodinsk,58.6881,99.1844,1.91,98,100,2.47,RU,1697580832
227,port alfred,-33.5906,26.891,16.21,89,0,0.89,ZA,1697580832
228,tshikapa,-6.4167,20.8,21.79,94,60,1.13,CD,1697580833
229,kupino,54.3663,77.2981,13.24,79,18,2.98,RU,1697580833
230,bull savanna,17.8868,-77.5902,27.62,74,61,1.7,JM,1697580834
231,kone,-21.0595,164.8658,24.9,75,58,2.66,NC,1697580834
232,ataq,14.5377,46.8319,20.61,77,0,3.61,YE,1697580835
233,holualoa,19.6228,-155.9522,28.08,75,20,4.63,US,1697580806
234,crane,31.3974,-102.3501,26.49,21,0,7.63,US,1697580836
235,sarankhola,22.3082,89.7897,22.24,80,11,0.77,BD,1697580837
236,gun barrel city,32.3346,-96.1514,24.81,40,0,2.76,US,1697580837
237,kourou,5.1552,-52.6478,28.03,80,14,4.17,GF,1697580838
238,sorel-tracy,46.0334,-73.1159,13.94,71,97,2.2,CA,1697580839
239,kolondieba,11.0882,-6.8926,25.86,67,40,1.17,ML,1697580839
240,brandon,27.9378,-82.2859,21.85,56,0,3.13,US,1697580758
241,northam,51.0333,-4.2167,13.14,79,100,11.07,GB,1697580840
242,hirara,24.8,125.2833,25.1,62,55,5.9,JP,1697580841
243,kimbe,-5.5502,150.1429,28.01,78,83,0.45,PG,1697580604
244,sola,-13.8833,167.55,26.08,78,100,7.4,VU,1697580842
245,sungho 1-tong,38.9914,125.9778,9.47,55,100,1.74,KP,1697580843
